instrument,fa_lo,fa_hi,n_all,n_assoc,sum_prob,exposure_s
SVOM/GRM,1.276073e-08,4.137304e-08,6,3,0.019961,12114207.0
SVOM/GRM,4.137304e-08,1.341403e-07,7,2,0.030192,12114207.0
SVOM/GRM,1.341403e-07,4.349119e-07,6,1,0.027024,12114207.0
SVOM/GRM,4.349119e-07,1.410078e-06,5,3,0.009313,12114207.0
SVOM/GRM,1.410078e-06,4.571777e-06,13,9,0.052246,12114207.0
SVOM/GRM,4.571777e-06,1.482269e-05,9,1,0.025859,12114207.0
SVOM/GRM,1.482269e-05,4.805836e-05,10,6,0.056078,12114207.0
SVOM/GRM,4.805836e-05,1.558156e-04,12,7,0.064163,12114207.0
SVOM/GRM,1.558156e-04,5.051877e-04,8,3,0.040040,12114207.0
SVOM/GRM,5.051877e-04,1.637927e-03,15,6,0.044328,12114207.0
SVOM/GRM,1.637927e-03,5.310514e-03,14,5,0.059924,12114207.0
SVOM/GRM,5.310514e-03,1.721783e-02,32,4,0.062588,12114207.0
SVOM/GRM,1.721783e-02,5.582393e-02,50,5,0.063471,12114207.0
SVOM/GRM,5.582393e-02,1.809932e-01,96,7,0.114779,12114207.0
SVOM/GRM,1.809932e-01,5.868191e-01,198,6,0.169181,12114207.0
SVOM/GRM,5.868191e-01,1.902594e+00,464,6,0.240377,12114207.0
SVOM/GRM,1.902594e+00,6.168621e+00,1291,8,0.550071,12114207.0
SVOM/GRM,6.168621e+00,2.000000e+01,3401,5,1.630234,12114207.0
