date,start,stop,duration,count,false_positive_per_year,longitude,latitude,altitude,tier,associated,coincidence_probability,neighbors_10min,n,n_acd,n_acd_multi,n_bg,n_acd_bg
20180618,2018-06-18T04:11:34.239583998Z,2018-06-18T04:11:34.240513980Z,0.000929982,17,8.333478671758175e-2,283.8249,7.1545,536621.1,lightning,1,1.2095708450127038e-2,7,27,1,0,15033,1942
20180620,2018-06-20T16:40:32.005623996Z,2018-06-20T16:40:32.006112009Z,0.000488013,15,3.3378401516353895e-1,95.0389,-6.5842,538407.7,lightning,1,9.024538808294402e-4,13,17,6,0,10575,1724
20180628,2018-06-28T05:40:59.862635970Z,2018-06-28T05:40:59.862823963Z,0.000187993,12,5.1103720680822e-1,181.2221,20.0258,536098.4,lightning,1,1.6436384722563725e-4,4,15,2,2,15303,1890
20180630,2018-06-30T11:30:53.244239985Z,2018-06-30T11:30:53.244709998Z,0.000470013,18,8.465626493443755e-3,30.2976,41.7104,545524.6,lightning,1,9.015654454552904e-4,8,23,2,2,21773,1636
20180704,2018-07-04T12:12:31.871525973Z,2018-07-04T12:12:31.871713966Z,0.000187993,12,2.2497086709661232e-1,282.8519,29.5736,548622.1,lightning,1,8.363202860421278e-3,8,16,0,0,22629,1828
20180712,2018-07-12T11:06:53.468831986Z,2018-07-12T11:06:53.469109982Z,0.000277996,17,3.5408605020652856e-1,299.3037,43.1665,551458.5,lightning,1,1.968111933448078e-3,34,20,8,1,24042,5514
20180718,2018-07-18T05:05:51.609955966Z,2018-07-18T05:05:51.611027985Z,0.001072019,17,2.7151435014897583e-5,281.9188,16.3685,539331.7,lightning,1,9.840877141217932e-4,6,32,1,0,17985,1419
20180724,2018-07-24T11:01:11.315295994Z,2018-07-24T11:01:11.315411984Z,0.000115990,10,7.837826515023873e-2,286.4405,23.7718,547086.1,lightning,1,1.4754769035324974e-3,5,13,2,0,18288,2295
20180725,2018-07-25T01:10:45.656335979Z,2018-07-25T01:10:45.656725972Z,0.000389993,20,1.3533832704426507e-1,36.3681,39.6000,547822.0,lightning,1,1.2294074256208507e-3,33,21,7,5,15397,2501
20180726,2018-07-26T10:35:54.671855986Z,2018-07-26T10:35:54.671867966Z,0.000011980,8,4.002253246197413e-1,257.7151,35.7921,546841.8,lightning,1,4.672484747151873e-3,11,8,0,0,26460,2079
20180726,2018-07-26T12:23:02.488123983Z,2018-07-26T12:23:02.488203972Z,0.000079989,10,7.146405593311087e-3,270.1571,9.7198,546447.9,lightning,1,8.531583763625932e-3,7,11,0,0,16111,2097
20180730,2018-07-30T10:09:16.398511976Z,2018-07-30T10:09:16.398772001Z,0.000260025,14,5.911159367575288e-1,278.7432,9.3469,545308.6,lightning,1,4.252636619949185e-3,4,16,1,1,15438,1820
20180731,2018-07-31T09:59:41.650995969Z,2018-07-31T09:59:41.651219964Z,0.000223995,10,1.233849519560166e-2,274.8856,9.1921,544891.6,lightning,1,2.464457536267519e-3,8,15,2,0,16062,929
20180806,2018-08-06T04:07:32.467811971Z,2018-08-06T04:07:32.468333989Z,0.000522018,14,3.0906734135710866e-3,299.8342,28.7557,539881.6,lightning,1,6.566956069174658e-4,10,22,4,0,19214,3013
20180808,2018-08-08T00:30:39.890291959Z,2018-08-08T00:30:39.890331983Z,0.000040024,8,3.987879870178141e-1,313.5553,40.2169,539213.9,lightning,1,4.0980247520695025e-4,23,9,0,0,18241,3289
20180809,2018-08-09T18:59:19.498523980Z,2018-08-09T18:59:19.498587995Z,0.000064015,9,4.472880086279785e-3,277.3961,7.5496,539175.0,lightning,1,3.1983223998032946e-3,15,11,0,0,11724,1512
20180810,2018-08-10T06:13:13.228852003Z,2018-08-10T06:13:13.228946Z,0.000093997,13,8.076519110113355e-1,125.0721,23.2773,537844.4,lightning,1,2.4588148512417015e-4,5,13,0,0,20122,943
20180813,2018-08-13T04:38:39.087610006Z,2018-08-13T04:38:39.088550001Z,0.000939995,23,6.344078939176669e-3,257.5962,21.5149,536100.2,lightning,1,5.005684206212606e-3,10,33,1,0,19695,1840
20180813,2018-08-13T07:19:51.826487958Z,2018-08-13T07:19:51.827633976Z,0.001146018,39,1.4681405106019838e-3,89.4088,23.7650,539737.9,lightning,1,3.278419801655602e-4,0,42,5,3,20228,1198
20180813,2018-08-13T10:59:27.721665978Z,2018-08-13T10:59:27.721849977Z,0.000183999,11,1.5923149722205066e-1,158.6824,22.9622,536218.6,lightning,1,1.1487639947545282e-3,8,15,1,1,15545,899
